ASV,zr2757_10V3V4,zr2757_1V3V4,zr2757_2V3V4,zr2757_3V3V4,zr2757_4V3V4,zr2757_5V3V4,zr2757_6V3V4,zr2757_7V3V4,zr2757_8V3V4,zr2757_9V3V4
ASV_530,32,14,4,12,11,2,14,17,0,4
ASV_531,31,5,3,8,13,10,7,28,1,4
ASV_532,30,14,0,9,17,3,9,28,0,0
ASV_533,10,5,7,23,22,19,3,12,4,5
ASV_534,1,0,42,16,6,1,25,0,8,11
ASV_535,0,2,15,10,61,7,4,1,10,0
ASV_536,0,0,36,0,0,8,21,0,24,21
ASV_537,0,0,23,2,19,12,4,0,40,10
ASV_538,13,5,6,4,5,30,20,4,12,10
ASV_539,12,16,2,15,30,3,11,16,2,2
ASV_540,12,11,8,14,11,1,10,21,19,2
ASV_541,3,1,16,0,2,13,3,2,55,14
ASV_542,1,1,3,33,69,1,1,0,0,0
ASV_543,1,2,32,1,5,21,17,1,17,12
ASV_544,0,1,1,33,70,0,0,0,1,3
ASV_545,33,2,0,0,0,23,8,42,0,0
ASV_546,18,28,0,15,33,0,0,14,0,0
ASV_547,17,4,5,2,4,8,18,16,15,19
ASV_548,15,40,0,13,13,1,11,6,5,4
ASV_549,12,1,11,4,31,16,5,16,5,7
ASV_550,8,4,1,40,33,5,8,9,0,0
ASV_551,4,2,4,10,25,26,5,4,8,20
ASV_552,3,1,26,5,23,12,16,2,11,9
ASV_553,1,16,1,24,59,1,1,4,1,0
ASV_554,0,0,18,1,0,13,15,2,41,18
ASV_555,56,5,0,0,0,0,0,46,0,0
ASV_556,30,7,5,7,1,5,16,14,8,14
ASV_557,20,9,3,11,13,7,15,22,3,4
ASV_558,17,1,0,0,1,8,63,17,0,0
ASV_559,2,8,2,2,8,48,21,6,5,5
ASV_560,0,0,35,1,1,20,6,0,22,22
ASV_561,0,0,7,15,22,4,41,4,9,5
ASV_562,24,21,0,10,23,0,4,23,0,1
ASV_563,16,5,3,2,6,35,9,24,5,1
ASV_564,9,0,14,7,18,26,5,5,9,13
ASV_565,9,2,1,1,5,35,28,22,0,3
ASV_566,4,1,11,3,20,7,16,1,31,12
ASV_567,2,19,8,5,9,33,9,2,10,9
ASV_568,0,7,1,43,48,1,2,1,2,1
ASV_569,0,0,4,19,77,0,0,1,4,1
ASV_570,32,0,37,0,0,10,5,15,0,6
ASV_571,29,16,0,18,17,0,0,25,0,0
ASV_572,12,8,13,0,0,8,8,14,33,9
ASV_573,11,6,7,24,25,5,9,8,3,7
ASV_574,10,1,10,7,11,17,37,11,0,1
ASV_575,10,4,0,1,0,5,14,71,0,0
ASV_576,8,9,0,10,39,5,9,22,0,3
ASV_577,6,0,8,0,0,14,35,5,30,7
ASV_578,4,10,11,22,16,20,5,7,7,3
ASV_579,1,6,6,2,2,56,9,5,12,6
ASV_580,1,4,4,34,50,1,3,0,1,7
ASV_581,35,33,0,10,4,0,0,22,0,0
ASV_582,32,9,2,0,0,15,4,32,8,2
ASV_583,13,0,0,2,6,23,43,17,0,0
ASV_584,12,4,0,23,27,5,3,26,2,2
ASV_585,11,8,0,33,30,2,3,14,2,1
ASV_586,7,21,6,1,3,4,34,19,6,3
ASV_587,2,0,8,0,0,75,1,4,14,0
ASV_588,1,1,15,17,9,9,14,2,28,8
ASV_589,0,0,29,0,1,1,14,0,52,7
ASV_590,0,0,14,0,0,13,39,0,32,6
ASV_591,36,10,0,5,22,0,0,30,0,0
ASV_592,36,24,0,0,2,2,7,32,0,0
ASV_593,34,12,0,11,7,15,1,23,0,0
ASV_594,33,2,4,2,9,1,1,47,4,0
ASV_595,19,27,2,4,5,2,0,37,7,0
ASV_596,12,3,9,0,0,16,41,10,10,2
ASV_597,8,2,0,12,49,4,5,19,4,0
ASV_598,7,3,19,10,26,8,13,13,3,1
ASV_599,5,39,0,12,13,0,0,34,0,0
ASV_600,5,3,6,6,17,29,14,11,7,5
ASV_601,0,1,20,10,36,3,9,0,19,5
ASV_602,0,1,40,2,4,1,9,0,29,17
ASV_603,0,0,40,0,0,5,4,3,38,13
ASV_604,0,0,22,14,12,0,15,0,12,28
ASV_605,45,2,2,9,1,10,1,26,3,3
ASV_606,25,15,1,5,12,2,4,36,1,1
ASV_607,9,0,25,5,5,25,15,4,4,10
ASV_608,1,0,22,11,9,7,38,1,2,11
ASV_609,1,2,1,7,72,10,3,4,2,0
ASV_610,0,5,6,13,54,7,4,1,3,9
ASV_611,0,2,11,25,57,0,0,0,4,3
ASV_612,0,0,3,24,75,0,0,0,0,0
ASV_613,0,0,0,0,0,55,47,0,0,0
ASV_614,24,2,4,1,7,18,14,29,1,1
ASV_615,19,17,0,27,19,0,3,16,0,0
ASV_616,16,11,13,6,16,3,3,21,9,3
ASV_617,14,6,1,10,31,16,7,13,3,0
ASV_618,9,10,1,21,31,1,3,25,0,0
ASV_619,5,3,3,24,49,6,0,7,2,2
ASV_620,3,4,12,13,27,11,23,1,4,3
ASV_621,0,19,3,30,26,15,4,2,0,2
ASV_622,0,0,5,0,9,53,32,0,1,1
ASV_623,22,21,0,16,16,0,0,25,0,0
ASV_624,9,17,5,10,18,6,5,22,8,0
ASV_625,8,2,14,22,42,1,1,7,2,1
ASV_626,6,5,13,0,0,14,43,10,5,4
ASV_627,6,3,9,14,36,6,0,17,8,1
ASV_628,3,2,5,0,0,32,50,1,5,2
ASV_629,2,9,11,16,40,2,6,4,7,3
ASV_630,0,15,1,47,33,0,0,3,0,1
ASV_631,0,0,2,0,0,18,75,0,2,3
ASV_632,29,12,7,3,0,1,6,14,9,18
ASV_633,17,7,3,0,0,24,9,24,11,4
ASV_634,13,8,4,13,23,0,2,11,7,18
ASV_635,8,3,12,13,26,6,7,11,11,2
ASV_636,7,4,6,11,31,13,11,8,4,4
ASV_637,6,8,18,6,33,10,3,4,9,2
ASV_638,5,4,6,20,36,13,6,5,1,3
ASV_639,5,1,4,18,51,5,7,4,2,2
ASV_640,2,0,10,11,50,2,14,0,8,2
ASV_641,2,0,8,2,2,44,12,2,21,6
ASV_642,2,0,29,5,3,13,19,1,12,15
ASV_643,0,1,0,4,6,50,30,2,2,4
ASV_644,0,1,1,8,9,8,64,0,2,6
ASV_645,0,0,37,0,0,1,1,0,41,19
ASV_646,36,12,4,3,3,7,19,5,7,2
ASV_647,12,3,2,6,18,29,7,14,5,2
ASV_648,9,1,1,25,52,2,4,4,0,0
ASV_649,5,3,0,29,57,0,0,4,0,0
ASV_650,4,2,2,1,4,12,37,26,5,5
ASV_651,4,2,3,8,14,20,22,25,0,0
ASV_652,1,4,13,3,4,25,29,1,8,10
ASV_653,1,0,18,0,0,11,14,0,46,8
ASV_654,38,5,2,2,2,4,1,35,7,1
ASV_655,24,9,7,3,17,5,7,16,6,3
ASV_656,24,1,0,11,11,10,4,35,0,1
ASV_657,20,2,7,2,1,36,7,19,3,0
ASV_658,16,7,2,16,19,3,15,17,0,2
ASV_659,11,1,17,7,12,9,16,12,9,3
ASV_660,11,17,4,7,8,1,4,29,8,8
ASV_661,8,8,10,16,41,0,2,5,4,3
ASV_662,7,7,0,4,0,52,7,19,0,1
ASV_663,6,0,14,9,18,7,27,4,7,5
ASV_664,4,2,2,7,48,3,1,2,27,1
ASV_665,1,0,42,1,3,14,8,2,10,16
ASV_666,0,2,9,4,8,13,27,0,16,18
ASV_667,0,0,12,8,14,24,26,0,5,8
ASV_668,0,0,4,27,64,0,0,0,2,0
ASV_669,45,6,0,0,0,0,0,45,0,0
ASV_670,19,14,1,7,11,8,18,9,4,5
ASV_671,16,3,0,23,38,0,0,16,0,0
ASV_672,9,5,6,25,31,1,6,7,1,5
ASV_673,8,8,4,15,13,2,3,26,6,11
ASV_674,8,11,0,28,26,0,1,22,0,0
ASV_675,6,7,17,4,6,31,8,2,8,7
ASV_676,6,5,14,5,10,7,20,5,12,12
ASV_677,4,9,0,11,70,0,0,2,0,0
ASV_678,3,4,13,6,23,13,17,11,2,4
ASV_679,3,1,5,15,42,11,5,6,4,4
ASV_680,0,0,28,0,0,0,3,0,53,12
ASV_681,15,7,8,3,5,9,11,25,11,1
ASV_682,11,9,2,24,32,5,0,11,1,0
ASV_683,9,3,13,4,16,11,9,14,9,7
ASV_684,9,13,9,10,25,6,15,6,2,0
ASV_685,2,1,13,5,20,11,6,4,30,3
ASV_686,0,0,28,9,28,3,3,0,18,6
ASV_687,42,13,0,10,6,4,0,19,0,0
ASV_688,39,11,0,0,0,0,0,42,2,0
ASV_689,30,8,0,1,3,12,9,25,3,3
ASV_690,20,4,3,12,24,3,3,24,1,0
ASV_691,14,13,0,29,11,0,0,27,0,0
ASV_692,11,11,7,7,32,6,2,14,3,1
ASV_693,11,6,4,24,29,3,4,10,2,1
ASV_694,6,6,15,1,13,9,18,10,10,6
ASV_695,3,2,9,14,24,17,10,3,10,2
ASV_696,0,0,26,0,0,0,1,0,61,6
ASV_697,0,0,15,0,0,5,9,0,58,7
ASV_698,0,0,2,3,1,3,55,1,8,21
ASV_699,33,4,0,0,0,1,0,55,0,0
ASV_700,32,11,0,5,14,0,0,31,0,0
ASV_701,26,9,0,5,6,11,13,23,0,0
ASV_702,21,9,6,10,21,2,0,18,3,3
ASV_703,20,5,0,1,0,28,25,8,0,6
ASV_704,6,9,14,14,39,1,3,3,4,0
ASV_705,3,7,9,25,32,1,1,5,4,6
ASV_706,0,5,10,19,39,5,5,0,7,3
ASV_707,0,1,0,45,44,2,0,0,1,0
ASV_708,0,0,32,0,0,9,9,0,32,11
ASV_709,0,0,27,0,12,12,9,0,17,16
ASV_710,20,16,3,3,5,1,0,27,15,2
ASV_711,13,1,1,8,8,49,0,11,0,1
ASV_712,8,14,7,12,24,1,8,9,6,3
ASV_713,3,4,4,1,1,6,54,2,8,9
ASV_714,0,0,34,0,0,3,2,0,39,14
ASV_715,39,8,1,0,2,4,4,26,1,6
ASV_716,32,23,0,1,4,0,0,31,0,0
ASV_717,22,5,1,9,19,5,7,17,0,6
ASV_718,17,18,1,18,19,2,0,16,0,0
ASV_719,16,3,3,26,30,1,0,11,1,0
ASV_720,15,6,1,2,2,25,25,13,2,0
ASV_721,14,22,1,11,8,4,6,21,1,3
ASV_722,12,24,3,12,24,6,2,6,1,1
ASV_723,11,8,0,34,28,1,1,8,0,0
ASV_724,9,2,0,1,1,42,29,7,0,0
ASV_725,9,4,24,5,9,8,5,12,7,8
ASV_726,8,5,10,11,17,13,9,8,5,5
ASV_727,8,6,4,14,43,4,6,1,3,2
ASV_728,5,11,4,6,29,7,7,18,3,1
ASV_729,5,0,6,1,2,33,10,5,23,6
ASV_730,1,0,10,8,25,1,1,3,38,4
ASV_731,48,1,3,7,5,3,1,20,1,1
ASV_732,27,6,0,0,0,39,1,17,0,0
ASV_733,16,1,0,7,23,17,3,23,0,0
ASV_734,15,0,2,1,0,21,6,30,12,3
ASV_735,15,11,4,12,35,1,1,9,0,2
ASV_736,14,17,0,6,18,5,11,19,0,0
ASV_737,10,7,6,1,15,1,2,27,16,5
ASV_738,8,6,1,29,15,5,5,13,3,5
ASV_739,8,2,12,1,0,1,16,8,19,23
ASV_740,7,2,3,0,0,26,27,21,3,1
ASV_741,7,5,8,3,9,24,20,6,6,2
ASV_742,5,2,8,1,0,14,29,16,13,2
ASV_743,4,21,4,12,19,0,3,16,9,2
ASV_744,4,6,22,2,6,5,12,5,5,23
ASV_745,1,3,7,0,0,6,24,20,24,5
ASV_746,0,0,28,0,0,0,1,0,55,6
ASV_747,0,0,24,9,10,10,15,0,10,12
ASV_748,0,0,19,0,0,1,3,0,56,11
ASV_749,0,0,18,0,0,20,21,0,27,4
ASV_750,0,0,1,10,75,0,1,0,2,1
ASV_751,0,0,0,0,0,81,9,0,0,0
ASV_752,34,22,0,0,0,0,0,33,0,0
ASV_753,31,4,0,0,0,0,0,54,0,0
ASV_754,30,16,0,4,3,0,9,27,0,0
ASV_755,21,4,2,19,27,3,2,11,0,0
ASV_756,14,35,0,12,6,0,1,21,0,0
ASV_757,6,4,14,11,20,2,9,6,13,4
ASV_758,0,0,16,5,5,17,11,0,18,17
ASV_759,28,14,0,0,3,0,5,31,7,0
ASV_760,27,2,0,0,0,14,4,41,0,0
ASV_761,20,17,0,1,8,7,1,34,0,0
ASV_762,16,4,3,8,17,7,6,16,10,1
ASV_763,13,0,5,0,0,24,17,12,7,10
ASV_764,8,3,8,8,3,3,31,6,8,10
ASV_765,6,3,10,3,34,3,3,17,7,2
ASV_766,4,1,15,7,15,16,11,6,4,9
ASV_767,2,5,0,2,1,47,30,1,0,0
ASV_768,1,1,0,24,53,3,2,2,1,1
ASV_769,1,0,0,11,76,0,0,0,0,0
ASV_770,0,0,27,1,2,0,3,0,47,8
ASV_771,0,0,21,3,34,1,3,0,17,9
ASV_772,0,0,4,0,0,11,71,0,1,1
ASV_773,0,0,3,22,60,0,0,0,2,1
ASV_774,23,12,0,0,3,7,1,41,0,0
ASV_775,21,8,0,11,12,6,7,22,0,0
ASV_776,16,2,2,11,26,3,2,22,0,3
ASV_777,13,7,2,15,34,0,3,13,0,0
ASV_778,9,6,8,8,38,5,3,3,5,2
ASV_779,7,9,12,11,24,6,8,7,1,2
ASV_780,7,20,2,18,13,1,5,18,1,2
ASV_781,5,4,6,2,1,32,7,5,18,7
ASV_782,5,11,20,2,3,9,12,15,7,3
ASV_783,3,0,0,38,45,0,0,1,0,0
ASV_784,1,3,12,0,0,15,34,6,11,5
ASV_785,1,0,20,1,6,14,11,0,32,2
ASV_786,0,2,0,7,14,50,14,0,0,0
ASV_787,0,0,11,1,1,34,24,0,2,14
ASV_788,0,0,3,0,0,14,55,0,3,12
ASV_789,37,4,0,0,0,2,0,43,0,0
ASV_790,34,14,0,7,2,0,1,27,1,0
ASV_791,16,3,3,12,43,0,0,9,0,0
ASV_792,12,2,14,3,7,3,3,12,28,2
ASV_793,9,16,11,10,14,4,7,13,1,1
ASV_794,9,6,6,5,25,15,3,4,6,7
ASV_795,8,9,3,30,15,2,3,5,6,5
ASV_796,8,38,1,6,15,2,1,15,0,0
ASV_797,7,2,4,4,4,25,19,15,3,3
ASV_798,3,15,0,13,33,0,0,22,0,0
ASV_799,1,1,13,0,1,26,2,6,26,10
ASV_800,0,1,28,0,0,8,0,1,45,3
ASV_801,0,1,1,0,0,38,16,0,17,13
ASV_802,0,0,17,3,9,10,11,0,23,13
ASV_803,0,0,9,3,6,23,6,0,18,21
ASV_804,44,8,2,1,0,0,0,29,0,1
ASV_805,40,1,2,0,0,2,10,22,4,4
ASV_806,29,2,1,10,24,1,2,16,0,0
ASV_807,28,4,2,3,4,3,1,37,1,2
ASV_808,17,18,0,11,10,0,8,18,2,1
ASV_809,17,3,6,7,6,14,1,26,4,1
ASV_810,16,16,0,14,7,3,2,26,0,1
ASV_811,15,3,3,0,0,19,9,23,7,6
ASV_812,13,10,6,5,17,20,2,10,0,2
ASV_813,13,1,5,5,4,14,5,16,19,3
ASV_814,12,6,5,10,10,3,16,14,2,7
ASV_815,9,16,3,11,8,2,13,9,3,11
ASV_816,1,1,18,6,18,3,1,9,23,5
ASV_817,1,2,2,1,1,31,33,3,6,5
ASV_818,0,4,28,5,15,6,7,0,17,3
ASV_819,0,3,15,7,27,8,0,3,20,2
ASV_820,0,1,43,1,4,0,0,0,27,9
ASV_821,0,0,25,0,0,6,4,0,42,8
ASV_822,0,0,7,18,8,7,4,0,8,33
ASV_823,19,10,6,3,12,11,8,10,1,4
ASV_824,9,4,10,6,24,7,4,16,3,1
ASV_825,9,6,1,10,44,2,2,7,1,2
ASV_826,8,11,10,6,4,9,11,15,10,0
ASV_827,8,6,3,21,31,6,7,2,0,0
ASV_828,7,17,3,19,11,8,7,8,0,4
ASV_829,6,2,6,4,11,10,32,10,1,2
ASV_830,4,4,6,0,2,3,9,20,32,4
ASV_831,4,2,6,14,20,8,9,4,6,11
ASV_832,2,4,2,16,57,0,1,0,0,2
ASV_833,2,4,9,4,4,8,3,4,43,3
ASV_834,1,31,0,9,9,1,5,27,1,0
ASV_835,0,1,18,0,0,4,11,0,44,6
ASV_836,0,1,14,0,0,0,11,0,45,13
ASV_837,0,1,29,3,11,2,7,0,11,20
ASV_838,0,0,22,0,0,1,12,0,39,10
ASV_839,0,0,17,5,34,3,5,0,12,8
ASV_840,27,9,0,7,11,0,0,29,0,0
ASV_841,17,6,2,8,3,11,10,14,8,4
ASV_842,8,2,7,2,9,14,16,20,4,1
ASV_843,7,6,0,10,36,0,2,22,0,0
ASV_844,7,0,0,1,0,33,7,33,2,0
ASV_845,6,19,11,6,10,6,2,16,5,2
ASV_846,5,8,0,10,52,0,0,8,0,0
ASV_847,3,1,18,5,25,7,7,0,7,10
ASV_848,1,1,18,1,3,13,13,1,26,6
ASV_849,0,0,11,0,0,43,15,0,5,9
ASV_850,0,0,6,10,55,1,1,0,7,3
ASV_851,25,4,0,1,2,29,3,13,2,3
ASV_852,25,7,3,8,21,2,1,14,1,0
ASV_853,22,0,2,1,6,10,4,20,10,7
ASV_854,19,2,0,3,14,23,1,20,0,0
ASV_855,18,16,3,1,14,11,3,16,0,0
ASV_856,12,7,0,7,8,12,18,13,3,2
ASV_857,10,9,2,14,20,0,3,15,7,2
ASV_858,9,0,3,8,4,16,16,16,7,3
ASV_859,6,1,11,7,18,14,5,4,12,4
ASV_860,3,9,0,10,31,2,3,22,2,0
ASV_861,2,11,5,10,25,9,4,9,5,2
ASV_862,1,1,15,7,3,22,16,2,9,6
ASV_863,0,5,11,6,32,6,9,0,9,4
ASV_864,0,0,2,3,4,30,32,1,3,7
ASV_865,14,8,2,3,34,3,2,10,5,0
ASV_866,11,12,1,14,17,3,13,7,1,2
ASV_867,9,7,11,12,19,4,2,5,5,7
ASV_868,8,7,3,15,13,13,0,15,5,2
ASV_869,8,5,1,24,27,1,0,12,0,3
ASV_870,6,1,1,9,35,0,0,23,6,0
ASV_871,3,2,5,1,0,4,44,8,8,6
ASV_872,2,3,18,6,17,5,5,4,19,2
ASV_873,1,0,2,17,60,0,0,0,0,1
ASV_874,1,2,1,16,54,3,1,2,0,1
ASV_875,1,3,7,9,17,5,9,8,18,4
ASV_876,0,3,0,26,46,1,5,0,0,0
ASV_877,0,0,33,0,0,0,1,0,36,11
ASV_878,0,0,22,11,20,3,3,0,4,18
ASV_879,0,0,19,0,11,3,22,0,23,3
ASV_880,0,0,11,0,0,0,1,1,59,9
ASV_881,0,0,7,13,50,0,0,1,6,4
ASV_882,22,4,1,13,9,0,3,17,6,5
ASV_883,21,2,1,1,2,17,13,19,2,2
ASV_884,18,6,0,3,9,2,19,22,0,1
ASV_885,16,12,0,9,16,0,0,27,0,0
ASV_886,15,1,9,5,9,6,6,13,10,6
ASV_887,13,9,0,16,22,2,4,13,1,0
ASV_888,11,4,1,7,19,14,8,15,1,0
ASV_889,8,8,5,18,15,13,2,10,1,0
ASV_890,8,12,3,14,6,5,10,8,6,8
ASV_891,4,1,9,11,11,8,6,9,12,9
ASV_892,3,1,0,0,0,23,48,4,0,1
ASV_893,2,3,12,5,7,20,9,7,7,8
ASV_894,0,1,0,0,0,75,4,0,0,0
ASV_895,0,0,12,18,32,0,10,0,2,6
ASV_896,40,5,0,0,0,0,0,34,0,0
ASV_897,36,7,0,4,5,1,0,26,0,0
ASV_898,25,15,0,2,1,8,5,21,0,2
ASV_899,19,4,4,0,2,13,2,27,7,1
ASV_900,18,4,0,3,22,13,11,8,0,0
ASV_901,18,11,0,9,3,5,12,21,0,0
ASV_902,13,12,5,6,15,0,11,16,1,0
ASV_903,12,9,0,27,22,0,2,7,0,0
ASV_904,9,2,14,20,16,2,1,3,2,10
ASV_905,6,13,7,8,12,0,3,9,17,4
ASV_906,4,17,11,5,12,6,8,10,2,4
ASV_907,3,1,7,6,9,16,23,6,5,3
ASV_908,0,2,0,15,54,1,1,1,4,1
ASV_909,0,2,7,6,12,32,1,0,15,4
ASV_910,0,0,18,0,0,1,9,0,37,14
ASV_911,0,0,12,0,0,15,30,1,13,8
ASV_912,0,0,4,2,3,53,14,1,0,2
ASV_913,0,0,3,18,54,0,0,2,2,0
ASV_914,24,0,2,1,0,2,3,46,0,0
ASV_915,24,1,2,0,4,9,5,23,9,1
ASV_916,22,4,1,5,22,5,3,16,0,0
ASV_917,17,0,2,0,2,32,9,15,1,0
ASV_918,12,5,4,2,12,3,13,12,11,4
ASV_919,11,3,0,4,6,8,35,7,1,3
ASV_920,10,3,2,0,1,6,21,22,12,1
ASV_921,7,0,14,5,13,12,9,4,7,7
ASV_922,6,9,1,15,20,4,0,23,0,0
ASV_923,5,2,17,2,1,6,11,1,8,25
ASV_924,2,4,1,14,49,1,4,3,0,0
ASV_925,0,4,20,2,4,6,6,1,26,9
ASV_926,0,0,33,0,0,0,1,0,32,12
ASV_927,0,0,25,16,2,1,5,0,7,22
ASV_928,0,0,21,0,0,0,2,0,43,12
ASV_929,0,0,20,0,0,9,10,0,29,10
ASV_930,0,0,0,15,55,4,2,2,0,0
ASV_931,37,22,0,1,0,0,0,17,0,0
ASV_932,27,5,0,0,0,2,0,43,0,0
ASV_933,20,5,1,12,16,0,1,22,0,0
ASV_934,19,13,0,9,18,0,0,18,0,0
ASV_935,18,12,1,5,9,7,10,13,0,2
ASV_936,17,5,0,1,12,14,9,18,1,0
ASV_937,16,11,0,8,14,1,0,27,0,0
ASV_938,14,38,0,3,3,0,0,19,0,0
ASV_939,12,4,3,9,19,11,4,10,2,3
ASV_940,8,0,8,0,18,15,3,5,18,2
ASV_941,7,2,8,6,13,4,8,15,6,8
ASV_942,3,6,4,23,26,1,3,3,4,4
ASV_943,3,12,10,19,10,4,4,9,4,2
ASV_944,2,0,23,8,21,5,6,1,4,7
ASV_945,2,0,23,9,20,3,3,0,7,10
ASV_946,0,0,15,8,34,0,4,0,9,7
ASV_947,8,7,1,10,21,11,4,8,6,0
ASV_948,7,2,27,2,16,2,1,10,3,6
ASV_949,5,2,1,16,42,3,1,5,0,1
ASV_950,4,13,0,14,17,3,8,10,1,6
ASV_951,4,6,2,12,23,3,8,16,1,1
ASV_952,2,4,0,6,41,8,1,12,2,0
ASV_953,1,0,5,2,0,27,23,7,8,3
ASV_954,1,0,21,2,14,6,11,2,11,8
ASV_955,0,3,12,18,38,0,0,0,3,2
ASV_956,19,9,3,1,4,11,10,17,1,0
ASV_957,14,2,4,1,4,14,17,11,4,4
ASV_958,13,8,2,3,5,17,7,11,4,5
ASV_959,11,1,1,8,8,7,3,34,1,1
ASV_960,9,14,3,12,13,0,2,21,1,0
ASV_961,6,1,2,9,21,9,8,4,7,8
ASV_962,6,1,9,5,28,7,12,0,5,2
ASV_963,1,1,10,1,1,10,23,1,2,25
ASV_964,1,0,1,5,9,35,18,6,0,0
ASV_965,1,4,1,15,38,2,4,2,4,4
ASV_966,0,1,11,28,23,0,4,0,2,6
ASV_967,0,0,24,0,0,0,4,0,30,17
ASV_968,35,8,1,1,2,0,7,16,1,3
ASV_969,29,7,0,4,12,0,1,21,0,0
ASV_970,27,4,0,6,16,0,0,21,0,0
ASV_971,22,0,4,2,11,11,7,15,0,2
ASV_972,20,0,5,0,0,0,1,38,6,4
ASV_973,17,10,0,0,0,0,0,47,0,0
ASV_974,12,0,5,5,16,2,8,10,3,13
ASV_975,12,3,8,12,5,2,3,5,19,5
ASV_976,12,15,0,14,16,3,2,12,0,0
ASV_977,11,13,0,19,20,0,5,5,0,1
ASV_978,8,1,12,7,18,1,14,6,3,4
ASV_979,7,6,0,9,39,0,0,13,0,0
ASV_980,6,0,8,0,12,12,7,1,19,9
ASV_981,5,8,7,9,32,1,3,7,0,2
ASV_982,5,2,10,4,19,6,4,7,13,4
ASV_983,1,0,7,6,11,8,21,1,10,9
ASV_984,1,1,21,1,4,9,4,0,25,8
ASV_985,0,4,0,20,46,0,0,4,0,0
ASV_986,0,2,12,4,13,9,6,1,21,6
ASV_987,0,1,5,0,1,0,1,8,57,1
ASV_988,0,0,25,3,5,0,2,0,31,8
ASV_989,28,15,0,0,0,0,0,30,0,0
ASV_990,24,0,1,0,2,2,0,42,2,0
ASV_991,24,1,0,0,0,3,0,45,0,0
ASV_992,17,13,0,9,20,1,4,7,2,0
ASV_993,16,7,0,1,0,13,2,34,0,0
ASV_994,15,17,0,4,11,2,6,16,0,2
ASV_995,14,4,4,4,2,6,3,22,12,2
ASV_996,11,4,1,10,31,0,4,11,1,0
ASV_997,10,3,7,6,9,10,3,15,7,3
ASV_998,10,5,12,12,15,3,3,5,5,3
ASV_999,7,1,7,0,0,14,7,20,15,2
ASV_1000,6,3,13,6,21,2,8,2,4,8
ASV_1001,3,0,7,0,0,41,13,0,2,7
ASV_1002,2,13,6,17,24,0,0,9,2,0
ASV_1003,2,2,22,0,1,0,2,0,36,8
ASV_1004,1,1,2,8,52,5,2,0,1,1
ASV_1005,1,4,5,4,8,7,23,1,8,12
ASV_1006,1,0,2,5,5,23,21,3,10,3
ASV_1007,1,12,7,6,4,4,15,6,4,14
ASV_1008,0,0,17,0,0,0,4,0,51,1
ASV_1009,0,0,9,0,0,5,30,0,27,2
ASV_1010,0,0,0,0,4,0,69,0,0,0
ASV_1011,19,0,6,0,4,5,1,34,3,0
ASV_1012,17,2,0,0,0,20,3,30,0,0
ASV_1013,12,7,5,11,20,5,3,6,1,2
ASV_1014,11,14,0,2,27,0,0,18,0,0
ASV_1015,7,10,4,1,6,20,14,4,4,2
ASV_1016,7,10,0,2,6,19,12,12,2,2
ASV_1017,5,3,5,4,5,15,3,22,8,2
ASV_1018,4,4,7,5,7,22,9,6,5,3
ASV_1019,4,2,4,1,18,9,20,10,2,2
ASV_1020,2,0,18,1,0,8,15,3,18,7
ASV_1021,1,2,12,6,31,4,5,0,7,4
ASV_1022,0,0,24,1,10,19,4,0,9,5
ASV_1023,0,0,0,4,4,0,64,0,0,0
ASV_1024,30,23,0,5,3,0,0,9,1,0
ASV_1025,25,2,0,0,0,1,0,43,0,0
ASV_1026,20,15,10,4,9,1,4,5,1,2
ASV_1027,13,2,8,4,14,3,5,14,5,3
ASV_1028,7,14,11,9,8,0,0,18,1,3
ASV_1029,7,3,4,9,32,2,4,5,4,1
ASV_1030,7,5,12,2,26,4,2,9,4,0
ASV_1031,7,2,3,2,2,3,26,12,6,8
ASV_1032,6,0,0,1,0,52,5,7,0,0
ASV_1033,5,3,14,3,11,14,7,10,2,2
ASV_1034,5,3,1,3,8,10,19,18,2,2
ASV_1035,4,1,21,1,3,6,7,1,10,17
ASV_1036,3,14,16,8,9,0,1,9,6,5
ASV_1037,2,1,15,4,20,7,7,4,8,3
ASV_1038,1,3,10,13,28,1,6,2,4,3
ASV_1039,0,0,15,0,1,3,2,0,40,10
ASV_1040,0,0,2,18,34,3,1,0,10,3
ASV_1041,37,3,0,0,0,0,0,30,0,0
ASV_1042,28,8,1,5,4,2,4,18,0,0
ASV_1043,26,16,0,3,5,0,0,20,0,0
ASV_1044,17,10,0,3,14,9,3,14,0,0
ASV_1045,16,12,1,5,7,1,2,17,3,6
ASV_1046,13,1,0,1,5,25,12,13,0,0
ASV_1047,8,1,11,0,13,10,7,17,2,1
ASV_1048,7,2,1,12,24,5,4,14,0,1
ASV_1049,6,0,2,0,0,20,15,9,17,1
ASV_1050,6,1,11,6,18,8,11,2,3,4
ASV_1051,5,19,7,4,16,2,4,7,2,4
ASV_1052,5,4,4,4,5,18,12,8,6,4
ASV_1053,4,3,1,16,44,0,0,2,0,0
ASV_1054,3,14,0,2,6,32,0,13,0,0
ASV_1055,2,1,15,6,5,0,6,3,21,11
ASV_1056,1,0,1,21,30,0,15,0,1,1
ASV_1057,0,1,19,0,0,2,14,0,26,8
ASV_1058,0,1,14,4,2,1,7,0,24,17
ASV_1059,0,0,22,0,2,1,2,0,36,7
ASV_1060,0,0,19,0,0,0,1,0,40,10
